"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates that checkout flow can be cancelled on the last order step, and retain cart data. The user is being redirected to the Products Page after clicking on cancel button.","1623","shouldReturnToProductsPageAfterClickingCancelOnLastOrderStep()","","Fri Aug 22 11:58:42 UTC 2025","passed","Fri Aug 22 11:58:44 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldReturnToProductsPageAfterClickingCancelOnLastOrderStep"
"Validates that checkout flow can be cancelled on the checkout form point, and retain cart data. The user is being redirected to the cart after clicking on cancel button.","1251","shouldReturnToCartAfterClickingCancelOnFormPage()","","Fri Aug 22 11:58:38 UTC 2025","passed","Fri Aug 22 11:58:40 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldReturnToCartAfterClickingCancelOnFormPage"
"Validates that the user is unable to log in with incorrect password, and is being shown an error with the expected description.","810","shouldShowErrorWithInvalidPassword(UserCredentials, String) [1] UserCredentials[username=just_wrong_user, password=secret_sauce], Epic sadface: Username and password do not match any user in this service","","Fri Aug 22 11:58:48 UTC 2025","passed","Fri Aug 22 11:58:49 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithInvalidPassword"
"Validates that state of cart icon on Products Page changed.","953","shouldSuccessfullyAddProductToCart()","","Fri Aug 22 11:58:27 UTC 2025","passed","Fri Aug 22 11:58:28 UTC 2025","","org.saucedemo.tests.products.ProductsPageTest","org.saucedemo.tests.products.ProductsPageTest","shouldSuccessfullyAddProductToCart"
"Validates that the user is able to log in using valid credentials.","842","shouldLoginSuccessfullyWithValidCredentials()","","Fri Aug 22 11:58:46 UTC 2025","passed","Fri Aug 22 11:58:47 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldLoginSuccessfullyWithValidCredentials"
"Validates that the checkout flow is disabled for an empty cart.","0","shouldNotBeAbleToCheckoutEmptyCart()","","Fri Aug 22 11:58:45 UTC 2025","skipped","Fri Aug 22 11:58:45 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldNotBeAbleToCheckoutEmptyCart"
"Validates that clicking on 'Reset App State' button on the sidebar results in emptying the cart and resetting the state of 'Add to Cart' buttons on the Products Page assigned to the items that were previously added to the cart.","1703","shouldResetCartAndUIStateWithResetAppState()","","Fri Aug 22 11:58:30 UTC 2025","passed","Fri Aug 22 11:58:32 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldResetCartAndUIStateWithResetAppState"
"Validates that the user is unable to log in without entering neither username nor password, and is being shown an error with the expected description.","662","shouldShowErrorWithEmptyCredentials()","","Fri Aug 22 11:58:45 UTC 2025","passed","Fri Aug 22 11:58:46 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithEmptyCredentials"
"Validates that user is unable to log in using a username of an account that doesn't exist in the application's database, and is being shown an error with the expected description.","808","shouldShowErrorWhenUsingNonexistentAccount()","","Fri Aug 22 11:58:47 UTC 2025","passed","Fri Aug 22 11:58:48 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWhenUsingNonexistentAccount"
"Validates that the state of cart icon on Products Page changes accordingly when adding and removing items from the cart.","1176","shouldAddAndRemoveProductsFromCartViaProductsPage()","","Fri Aug 22 11:58:28 UTC 2025","passed","Fri Aug 22 11:58:29 UTC 2025","","org.saucedemo.tests.products.ProductsPageTest","org.saucedemo.tests.products.ProductsPageTest","shouldAddAndRemoveProductsFromCartViaProductsPage"
"Validates that the user is unable to log in with credentials assigned to a user whose account has been locked out of access to the site, and is being shown an error with the expected description.","806","shouldShowErrorWhenUsingLockedAccount()","","Fri Aug 22 11:58:50 UTC 2025","passed","Fri Aug 22 11:58:51 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWhenUsingLockedAccount"
"Validates that sidebar is no longer visible after it's been clicked by the user.","2024","shouldCloseSidebarWhenClickingOnCloseButton()","","Fri Aug 22 11:58:32 UTC 2025","passed","Fri Aug 22 11:58:34 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldCloseSidebarWhenClickingOnCloseButton"
