"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates that unauthenticated user cannot access protected resources.","769","shouldNotAllowAccessForUnauthenticatedUser()","","Fri Aug 22 14:00:40 UTC 2025","passed","Fri Aug 22 14:00:40 UTC 2025","","org.saucedemo.tests.authentication.SessionTest","org.saucedemo.tests.authentication.SessionTest","shouldNotAllowAccessForUnauthenticatedUser"
"Validates that checkout flow can be cancelled on the last order step, and retain cart data. The user is being redirected to the Products Page after clicking on cancel button.","2074","shouldReturnToProductsPageAfterClickingCancelOnLastOrderStep()","","Fri Aug 22 14:00:28 UTC 2025","passed","Fri Aug 22 14:00:30 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldReturnToProductsPageAfterClickingCancelOnLastOrderStep"
"Validates that clicking on 'Reset App State' button on the sidebar results in emptying the cart and resetting the state of 'Add to Cart' buttons on the Products Page assigned to the items that were previously added to the cart.","1761","shouldResetCartAndUIStateWithResetAppState()","","Fri Aug 22 14:00:14 UTC 2025","passed","Fri Aug 22 14:00:16 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldResetCartAndUIStateWithResetAppState"
"Validates that the user is unable to log in with incorrect password, and is being shown an error with the expected description.","917","shouldShowErrorWithInvalidPassword(UserCredentials, String) [1] UserCredentials[username=just_wrong_user, password=secret_sauce], Epic sadface: Username and password do not match any user in this service","","Fri Aug 22 14:00:34 UTC 2025","passed","Fri Aug 22 14:00:35 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithInvalidPassword"
"Validates that the user can add an item to the cart, and the item across the whole checkout flow stays consistent with the one added by the user. The checkout can be completed and the user can be redirected to Products Page by clicking 'Back Home' button. The cart has 0 items inside.","2059","shouldPlaceOrderSuccessfully()","","Fri Aug 22 14:00:26 UTC 2025","passed","Fri Aug 22 14:00:28 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldPlaceOrderSuccessfully"
"Validates that sidebar is no longer visible after it's been clicked by the user.","2299","shouldCloseSidebarWhenClickingOnCloseButton()","","Fri Aug 22 14:00:16 UTC 2025","passed","Fri Aug 22 14:00:18 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldCloseSidebarWhenClickingOnCloseButton"
"Validates that the user is unable to log in with credentials assigned to a user whose account has been locked out of access to the site, and is being shown an error with the expected description.","840","shouldShowErrorWhenUsingLockedAccount()","","Fri Aug 22 14:00:37 UTC 2025","passed","Fri Aug 22 14:00:38 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWhenUsingLockedAccount"
"Validates that clicking on 'Reset App State' does not result in application crash.","1521","shouldNotFailResetAppStateWhenCartIsEmpty()","","Fri Aug 22 14:00:18 UTC 2025","passed","Fri Aug 22 14:00:19 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldNotFailResetAppStateWhenCartIsEmpty"
"Validates that after opening the sidebar and clicking on the 'All items' link, the user is redirected to Products Page, and the Sidebar is no longer visible.","1650","shouldRedirectToAllItemsPage()","","Fri Aug 22 14:00:12 UTC 2025","passed","Fri Aug 22 14:00:14 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldRedirectToAllItemsPage"
"Validates that the user is unable to log in without entering neither username nor password, and is being shown an error with the expected description.","761","shouldShowErrorWithEmptyCredentials()","","Fri Aug 22 14:00:31 UTC 2025","passed","Fri Aug 22 14:00:32 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithEmptyCredentials"
"Validates that the checkout can only proceed once the user fills in the checkout form with the correct data.","1560","shouldFailToCheckoutWithoutValidUserData()","","Fri Aug 22 14:00:30 UTC 2025","passed","Fri Aug 22 14:00:31 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldFailToCheckoutWithoutValidUserData"
"Validates that logged in user is logged out when their session expires, and is redirected to login page where they're being shown an expected error message.","1054","shouldRedirectToLoginPageWhenSessionExpires()","","Fri Aug 22 14:00:38 UTC 2025","passed","Fri Aug 22 14:00:40 UTC 2025","","org.saucedemo.tests.authentication.SessionTest","org.saucedemo.tests.authentication.SessionTest","shouldRedirectToLoginPageWhenSessionExpires"
"Validates that the state of cart icon on Products Page changes accordingly when adding and removing items from the cart.","1245","shouldAddAndRemoveProductsFromCartViaProductsPage()","","Fri Aug 22 14:00:11 UTC 2025","passed","Fri Aug 22 14:00:12 UTC 2025","","org.saucedemo.tests.products.ProductsPageTest","org.saucedemo.tests.products.ProductsPageTest","shouldAddAndRemoveProductsFromCartViaProductsPage"
"Validates that after opening the sidebar and clicking on the 'About' link, the user is redirected to Sauce Labs landing page.","4515","shouldRedirectToAboutPage()","","Fri Aug 22 14:00:19 UTC 2025","passed","Fri Aug 22 14:00:24 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldRedirectToAboutPage"
